,loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
1594,megasena,2099.0,21/11/2018,"Caminhão da Sorte em CAMPOS BELOS, GO","['30', '15', '05', '58', '20', '27']","['05', '15', '20', '27', '30', '58']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 97, 'valorPremio': 34495.53}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7549, 'valorPremio': 633.2}]",[],,1.0,2100.0,24/11/2018,[],58036464.5,60511157.87,60873285.26,60511157.87,70000000.0
1596,megasena,38.0,24/11/1996,"Auditório em Brasília, DF","['55', '42', '10', '43', '45', '54']","['10', '42', '43', '45', '54', '55']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 24, 'valorPremio': 38863.1}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 1999, 'valorPremio': 466.59}]",[],,1.0,39.0,,[],0.0,6580145.09,0.0,4910944.53,0.0
1597,megasena,1033.0,24/12/2008,"Caminhão da Sorte em IPORÃ, PR","['39', '06', '05', '33', '54', '17']","['05', '06', '17', '33', '39', '54']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 83, 'valorPremio': 13662.29}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6445, 'valorPremio': 175.95}]",[],,1.0,1034.0,27/12/2008,[],0.0,6551252.25,15034178.04,4080441.78,6000000.0
1599,megasena,624.0,15/12/2004,"Caminhão da Sorte em LAGOA VERMELHA, RS","['39', '23', '34', '52', '08', '43']","['08', '23', '34', '39', '43', '52']",[],,N/A,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 22375180.08}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 108, 'valorPremio': 13482.59}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7284, 'valorPremio': 199.16}]",[],"Estimativa de prêmio (SENA) para o próximo concurso: R$10.000.000,00 (DEZ MILHÕES DE REAIS).",0.0,625.0,18/12/2004,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}]",0.0,8153503.12,0.0,0.0,0.0
1600,megasena,2396.0,04/08/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['03', '25', '02', '49', '42', '39']","['02', '03', '25', '39', '42', '49']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 49, 'valorPremio': 81665.84}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5934, 'valorPremio': 963.36}]",[],,1.0,2397.0,07/08/2021,[],69405799.5,8916828.32,47354965.96,45757672.77,55000000.0
1602,megasena,710.0,29/10/2005,"Caminhão da Sorte em JUAZEIRO, BA","['46', '25', '05', '49', '39', '34']","['05', '25', '34', '39', '46', '49']",[],,--,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 48, 'valorPremio': 21483.28}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4608, 'valorPremio': 222.94}]",[],"ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 05/11/2005: R$15.000.000,00.",1.0,711.0,05/11/2005,[],0.0,1288996.55,0.0,13081573.14,0.0
1604,megasena,214.0,08/04/2000,"Caminhão da Sorte em SANTA ROSA, RS","['30', '12', '06', '50', '35', '31']","['06', '12', '30', '31', '35', '50']",[],null,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 54, 'valorPremio': 15578.04}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3769, 'valorPremio': 222.35}]",[],"Previsão prêmio próximo concurso R$2.100.000,00.",1.0,215.0,,[],0.0,6572705.51,0.0,1009456.63,0.0
1607,megasena,1599.0,14/05/2014,"Auditório em OSASCO, SP","['35', '10', '15', '58', '36', '03']","['03', '10', '15', '35', '36', '58']",,--,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 11882469.39}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 135, 'valorPremio': 19591.99}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 8922, 'valorPremio': 423.49}]",[],SORTEIO REALIZADO EM ESTÚDIO DE TV.,0.0,1600.0,17/05/2014,"[{'ganhadores': 1, 'municipio': 'LOANDA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}]",45177182.5,12453544.11,28769103.61,0.0,18000000.0
1609,megasena,1941.0,21/06/2017,"Caminhão da Sorte em CAMPINA GRANDE , PB","['38', '01', '09', '48', '49', '24']","['01', '09', '24', '38', '48', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 26572503.56}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 63, 'valorPremio': 38426.22}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4313, 'valorPremio': 801.84}]",[],,0.0,1942.0,24/06/2017,"[{'ganhadores': 1, 'municipio': 'PERUÍBE', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",41988908.5,5223359.7,33566388.45,0.0,3000000.0
1619,megasena,2731.0,01/06/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['49', '12', '58', '32', '04', '45']","['04', '12', '32', '45', '49', '58']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 126, 'valorPremio': 45794.77}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 9008, 'valorPremio': 915.08}]",[],,1.0,2732.0,04/06/2024,[],100079640.0,11140669.82,59141234.81,82571747.91,95000000.0
